BU,RegionSeq,VP,Region
1,1-North,Sherley Rhymes,North
2,1-North,Dan Brown,North
3,1-North,Glennie Butters,North
4,1-North,Ruthann Lee,North
5,2-Midwest,Reena Hentz,Midwest
6,2-Midwest,Aliza Fekete,Midwest
7,2-Midwest,Tom Benson,Midwest
8,2-Midwest,Brad Eagles,Midwest
9,6-South,April Legolis,South
10,6-South,Maurine Krieger,South
11,6-South,Andrew Thompson,South
12,6-South,Miguel Shuck,South
13,5-Central,Angelita Bowley,Central
14,5-Central,June Foster,Central
15,5-Central,Li Xi,Central
16,5-Central,Jean Shagall,Central
17,3-Northwest,Mikki Rein,Northwest
18,3-Northwest,Beverly Blair,Northwest
19,3-Northwest,Trudy Fitch,Northwest
20,3-Northwest,Jerri Ebron,Northwest
